AzuriteOre,912,-208709
AzuriteOre,5594,-203389
AzuritePickup,-18959,-205886
AzuritePickup,-10667,-188404
AzuritePickup,-7425,-206349
AzuritePickup,-1193,-186954
AzuritePickup,-511,-196201
AzuritePickup,-142,-192406
AzuritePickup,600,-208437
AzuritePickup,2276,-193606
AzuritePickup,5416,-203759
AzuritePickup,5542,-183866
AzuritePickup,9161,-184730
BasaltOre,-13347,-208110
BasaltOre,7596,-209877
BasaltOre,8780,-203689
BasaltPickup,-12954,-207989
BasaltPickup,7320,-210181
BasaltPickup,8465,-203729
BauxiteOre,2813,-208117
BauxitePickup,2433,-208270
BrittleBush,-12809,-205843
BrittleBush,-6843,-205660
BrittleBush,-6120,-195348
BrittleBush,-524,-203779
BrittleBush,2737,-197575
FuelCellPart,-18981,-200936
FuelCellPart,-18265,-205515
FuelCellPart,-17604,-211333
FuelCellPart,-17399,-211683
FuelCellPart,-15282,-197040
FuelCellPart,-13661,-201353
FuelCellPart,-12569,-213448
FuelCellPart,-12263,-195881
FuelCellPart,-11635,-202793
FuelCellPart,-11550,-200415
FuelCellPart,-7730,-206091
FuelCellPart,-6102,-208878
FuelCellPart,-5252,-193273
FuelCellPart,-2185,-187037
FuelCellPart,-1971,-206860
FuelCellPart,-1612,-197623
FuelCellPart,-1511,-192205
FuelCellPart,-1033,-195460
FuelCellPart,-450,-185045
FuelCellPart,194,-213140
FuelCellPart,1163,-190047
FuelCellPart,2945,-193937
FuelCellPart,3043,-205189
FuelCellPart,3439,-190792
FuelCellPart,3629,-205457
FuelCellPart,4057,-188946
FuelCellPart,4807,-199190
FuelCellPart,5159,-211606
FuelCellPart,5175,-190051
FuelCellPart,6562,-212384
FuelCellPart,7711,-203872
FuelCellPart,8958,-190493
FuelCellWreckage,-17534,-211911
FuelCellWreckage,-12559,-213189
FuelCellWreckage,-7522,-205908
FuelCellWreckage,-1718,-206950
FuelCellWreckage,-1105,-195336
FuelCellWreckage,193,-213376
FuelCellWreckage,2956,-194142
FuelCellWreckage,4749,-199143
FuelCellWreckage,5051,-211356
RhyoliteOre,-16774,-200794
RhyoliteOre,-4204,-196734
RhyolitePickup,-18726,-202885
RhyolitePickup,-18668,-203627
RhyolitePickup,-13817,-189963
RhyolitePickup,-11899,-189111
RhyolitePickup,-9821,-188197
RhyolitePickup,-7864,-200707
RhyolitePickup,-7753,-206426
RhyolitePickup,-4392,-211013
RhyolitePickup,-4290,-186065
RhyolitePickup,-3811,-196630
RhyolitePickup,-1972,-197547
RhyolitePickup,-1213,-202502
RhyolitePickup,-1050,-193831
RhyolitePickup,1365,-184953
RhyolitePickup,2186,-195929
RhyolitePickup,2554,-198549
RhyolitePickup,3614,-189151
RhyolitePickup,4166,-192262
RhyolitePickup,7074,-192489
RhyolitePickup,7697,-203491
RhyolitePickup,9081,-185579
RhyolitePickup,9306,-190601
ScrapMetalPart,-17893,-208453
ScrapMetalPart,-17545,-205393
ScrapMetalPart,-15366,-192351
ScrapMetalPart,-15038,-206086
ScrapMetalPart,-14057,-213725
ScrapMetalPart,-12531,-204930
ScrapMetalPart,-11722,-192416
ScrapMetalPart,-10709,-187979
ScrapMetalPart,-10447,-199681
ScrapMetalPart,-10341,-207349
ScrapMetalPart,-9398,-200990
ScrapMetalPart,-7942,-192480
ScrapMetalPart,-7183,-187205
ScrapMetalPart,-5489,-193460
ScrapMetalPart,-4995,-195241
ScrapMetalPart,-4011,-205817
ScrapMetalPart,-3805,-185531
ScrapMetalPart,-3488,-208053
ScrapMetalPart,-3352,-191950
ScrapMetalPart,-3205,-194503
ScrapMetalPart,-2382,-186107
ScrapMetalPart,-2218,-191209
ScrapMetalPart,-1963,-201595
ScrapMetalPart,-1959,-185878
ScrapMetalPart,-1816,-185527
ScrapMetalPart,-1231,-185267
ScrapMetalPart,-1135,-184837
ScrapMetalPart,-1129,-192576
ScrapMetalPart,-906,-195977
ScrapMetalPart,-406,-199876
ScrapMetalPart,-297,-198793
ScrapMetalPart,-153,-206317
ScrapMetalPart,-98,-186818
ScrapMetalPart,-71,-190648
ScrapMetalPart,-63,-186042
ScrapMetalPart,305,-199881
ScrapMetalPart,377,-189785
ScrapMetalPart,578,-189212
ScrapMetalPart,839,-198523
ScrapMetalPart,1168,-197825
ScrapMetalPart,1170,-199304
ScrapMetalPart,2784,-204360
ScrapMetalPart,3573,-192270
ScrapMetalPart,3955,-190389
ScrapMetalPart,4206,-195132
ScrapMetalPart,4782,-192032
ScrapMetalPart,5500,-191761
ScrapMetalPart,6753,-184677
ScrapMetalPart,6806,-194367
ScrapMetalPart,6966,-191605
ScrapMetalPart,7027,-194713
ScrapMetalPart,7340,-194102
ScrapMetalPart,7490,-193774
ScrapMetalPart,7837,-192080
ScrapMetalPart,7861,-190493
ScrapMetalPart,8446,-190446
ScrapMetalPart,8696,-184038
ScrapMetalPart,9440,-184542
ScrapMetalPart,9530,-185221
ScrapMetalPart,9992,-189247
ScrapMetalPart,10010,-185560
ScrapMetalPart,10600,-213544
ScrapMetalWreckage,-17332,-205552
ScrapMetalWreckage,-15297,-206048
ScrapMetalWreckage,-15138,-192208
ScrapMetalWreckage,-14229,-213687
ScrapMetalWreckage,-11901,-192415
ScrapMetalWreckage,-10202,-199807
ScrapMetalWreckage,-9467,-200912
ScrapMetalWreckage,-8148,-192312
ScrapMetalWreckage,-5758,-193481
ScrapMetalWreckage,-4977,-195038
ScrapMetalWreckage,-3558,-185639
ScrapMetalWreckage,-3112,-194399
ScrapMetalWreckage,-2203,-191212
ScrapMetalWreckage,-2173,-201433
ScrapMetalWreckage,-1994,-186152
ScrapMetalWreckage,-1547,-185516
ScrapMetalWreckage,-700,-194392
ScrapMetalWreckage,-627,-199878
ScrapMetalWreckage,-348,-186913
ScrapMetalWreckage,-301,-186184
ScrapMetalWreckage,205,-190728
ScrapMetalWreckage,687,-187888
ScrapMetalWreckage,688,-198301
ScrapMetalWreckage,968,-199128
ScrapMetalWreckage,1153,-197843
ScrapMetalWreckage,3787,-192114
ScrapMetalWreckage,3979,-190410
ScrapMetalWreckage,4760,-192052
ScrapMetalWreckage,5461,-191556
ScrapMetalWreckage,6485,-184643
ScrapMetalWreckage,6727,-191486
ScrapMetalWreckage,7102,-194070
ScrapMetalWreckage,7104,-194834
ScrapMetalWreckage,7955,-190706
ScrapMetalWreckage,8039,-192178
ScrapMetalWreckage,8429,-183960
ScrapMetalWreckage,9268,-185170
ScrapMetalWreckage,9833,-185773
ScrapMetalWreckage,9952,-188984
StravidiumOre,-16097,-206158
StravidiumOre,-13615,-202233
StravidiumOre,2061,-199645
StravidiumOre,5515,-195843
StravidiumOre,7750,-201808
StravidiumPickup,-16447,-205942
StravidiumPickup,-13265,-201992
StravidiumPickup,1657,-199577
StravidiumPickup,5255,-195857
StravidiumPickup,8089,-202038
TitaniumOre,-9004,-204124
TitaniumOre,-7923,-207410
TitaniumOre,-4368,-198837
TitaniumOre,-3870,-207685
TitaniumOre,-3814,-198877
TitaniumPickup,-8603,-204212
TitaniumPickup,-7990,-207005
TitaniumPickup,-4553,-199094
TitaniumPickup,-4075,-198871
